Intent Name,Total Conversations,Automation Conversation Count,Automation Rate,Meaningful Drop off Count,Meaningful Drop off Rate,Not Understood Drop off Count,Not Understood Drop off Rate,Planned Escalation Count,Planned Escalation Rate,Reopen + escalation (other) Count,Reopen + escalation (other) Rate,Reopen + escalation (thank you) Count,Reopen + escalation (thank you) Rate,Failed Escalation Count,Failed Escalation Rate,Not Resolved Count,Not Resolved Rate,Informed + No Status Count,Informed + No Status Rate,Initial Failed Escalation to Agent Escalation Count,Initial Failed Escalation to Agent Escalation Rate,Others Count,Other Rate
Cancellations & Refunds,"4,091",436,10.66%, 847 ,20.70%, 3 ,0.07%," 2,567 ",62.75%, 149 ,3.64%, 1 ,0.02%, 3 ,0.07%, 82 ,2.00%, 1 ,0.02%, 2 ,0.05%, 0 ,0.00%
Hello,"3,698",321,8.68%, 396 ,10.71%, 263 ,7.11%," 2,457 ",66.44%, 150 ,4.06%, 3 ,0.08%, 23 ,0.62%, 78 ,2.11%, 3 ,0.08%, 4 ,0.11%, 0 ,0.00%
No Intent,"3,556",0,0.00%, 10 ,0.28%," 1,361 ",38.27%," 1,694 ",47.64%, 468 ,13.16%, 0 ,0.00%, 20 ,0.56%, 0 ,0.00%, 0 ,0.00%, 3 ,0.08%, 0 ,0.00%
Pickup and drop-off information,"2,008",500,24.90%, 494 ,24.60%, 3 ,0.15%, 887 ,44.17%, 37 ,1.84%, 1 ,0.05%, 0 ,0.00%, 84 ,4.18%, 1 ,0.05%, 1 ,0.05%, 0 ,0.00%
Rescheduling,"1,685",277,16.44%, 239 ,14.18%, 13 ,0.77%," 1,083 ",64.27%, 33 ,1.96%, 2 ,0.12%, 4 ,0.24%, 34 ,2.02%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Thank you/positive feedback/bye,"1,625",0,0.00%, 0 ,0.00%, 0 ,0.00%, 80 ,4.92%, 0 ,0.00%, 919 ,56.55%, 10 ,0.62%, 0 ,0.00%, 602 ,37.05%, 14 ,0.86%, 0 ,0.00%
Meeting point,"1,393",203,14.57%, 482 ,34.60%, 11 ,0.79%, 575 ,41.28%, 23 ,1.65%, 2 ,0.14%, 5 ,0.36%, 91 ,6.53%, 1 ,0.07%, 1 ,0.07%, 0 ,0.00%
Voucher lost or not received,"1,208",94,7.78%, 189 ,15.65%, 9 ,0.75%, 843 ,69.78%, 38 ,3.15%, 0 ,0.00%, 3 ,0.25%, 31 ,2.57%, 0 ,0.00%, 1 ,0.08%, 0 ,0.00%
Payments,913,45,4.93%, 183 ,20.04%, 7 ,0.77%, 613 ,67.14%, 32 ,3.50%, 0 ,0.00%, 2 ,0.22%, 31 ,3.40%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
I have a booking,889,92,10.35%, 176 ,19.80%, 7 ,0.79%, 553 ,62.20%, 42 ,4.72%, 1 ,0.11%, 1 ,0.11%, 17 ,1.91%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Changes to booking,665,236,35.49%, 115 ,17.29%, 3 ,0.45%, 283 ,42.56%, 9 ,1.35%, 0 ,0.00%, 1 ,0.15%, 18 ,2.71%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Voucher questions,585,93,15.90%, 143 ,24.44%, 3 ,0.51%, 310 ,52.99%, 10 ,1.71%, 0 ,0.00%, 0 ,0.00%, 26 ,4.44%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Running Late to activity,547,177,32.36%, 165 ,30.16%, 1 ,0.18%, 175 ,31.99%, 12 ,2.19%, 1 ,0.18%, 0 ,0.00%, 16 ,2.93%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
